CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,Clusters,clusters
1,1,5584.0,0.1783,10500.0,0.0619,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.4644,0,3
1,3,12136.5,0.7398,21599.0,0.0717,0.13,0.0,0.0,1.0,1.0,0.0,0.0,0.8355,1,0
1,3,6514.0,0.5828,7389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291,2,2
1,1,4500.0,0.0706,8468.0,0.0462,0.0211,0.002,0.0025,0.0,0.0,0.0,0.0,0.308,0,3
1,3,6392.5,0.6947,8167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7474,2,2
1,3,6392.5,0.6753,8167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7113,2,2
1,3,6333.0,0.8816,7875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7105,2,2
1,3,10423.5,0.7927,12907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7927,2,2
1,1,9833.0,0.0,14144.0,0.0096,0.0089,0.0037,0.0037,0.0,0.0,0.0,0.0,0.1975,0,3
1,2,16500.0,0.5596,26000.0,0.0,0.0,0.3665,0.0,1.0,0.0,1.0,0.0,0.2884,4,0
1,2,9833.0,0.3333,14144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,5,4
1,1,4474.0,0.1951,14144.0,0.0163,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.3814,0,3
1,3,11644.0,0.6248,18750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5262,2,2
0,3,9934.0,0.8631,14024.0,0.0058,0.0073,0.0,0.0,2.0,2.0,0.0,0.0,0.7791,1,0
0,3,8666.5,0.7656,11833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7182,2,2
0,3,9500.0,0.5452,12594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5151,2,2
1,1,7000.0,0.242,6946.0,0.0069,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.3374,0,3
1,1,5065.0,0.2546,14144.0,0.0372,0.0205,0.0002,0.0,0.0,0.0,0.0,0.0,0.3726,0,3
1,3,14656.5,0.7674,25833.5,0.3253,0.3434,0.0,0.0,1.0,1.0,0.0,0.0,0.7304,1,0
1,3,14656.5,0.7983,25833.5,0.3056,0.4008,0.0,0.0,1.0,1.0,0.0,0.0,0.68,1,0
1,1,8910.0,0.2421,13250.0,0.0492,0.0,0.0011,0.0034,0.0,0.0,0.0,0.0,0.4772,0,3
1,3,16035.0,0.6593,18481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4818,2,2
1,1,9833.0,0.0,14144.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8223,0,3
1,1,15000.0,0.5571,21450.0,0.0057,0.0,0.0384,0.0041,2.0,0.0,2.0,2.0,0.3778,3,1
1,1,9833.0,0.0,14144.0,0.0366,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.2942,0,3
1,2,17000.0,0.7946,25000.0,0.0,0.0,0.0,0.0101,0.0,0.0,0.0,2.0,0.5982,5,4
1,1,6750.0,0.2878,11373.0,0.0075,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.4733,0,3
1,3,7917.0,0.8079,7917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5497,2,2
1,3,18532.0,0.6171,35500.0,0.063,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5242,2,0
1,1,5698.0,0.1599,9500.0,0.0213,0.0086,0.0039,0.0,0.0,0.0,0.0,0.0,0.3268,0,3
1,3,8708.0,0.6147,9498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898,2,2
1,3,8708.0,0.7193,9498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6183,2,2
1,2,19874.5,0.6478,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4547,5,4
1,3,11830.5,0.6808,12708.0,0.0,0.9979,0.0,0.0,0.0,0.0,0.0,0.0,0.6453,2,2
1,1,4750.0,0.2366,15000.0,0.1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559,0,3
1,3,7307.0,0.6167,7307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4667,2,2
1,3,9833.0,0.1957,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587,2,2
1,1,4500.0,0.171,14144.0,0.0289,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.2196,0,3
1,1,4927.0,0.2666,14144.0,0.0694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049,0,3
